length,state,mode,fitted_prob,draw
13,MA,sh,.063026674,6
13.5,MA,sh,.058313657,6
14,MA,sh,.053118628,6
14.5,MA,sh,.047670748,6
15,MA,sh,.042146187,6
15.5,MA,sh,.036766734,6
16,MA,sh,0,6
16.5,MA,sh,0,6
17,MA,sh,0,6
17.5,MA,sh,0,6
18,MA,sh,0,6
18.5,MA,sh,0,6
19,MA,sh,0,6
19.5,MA,sh,0,6
20,MA,sh,0,6
20.5,MA,sh,0,6
21,MA,sh,0,6
21.5,MA,sh,0,6
22,MA,sh,0,6
22.5,MA,sh,0,6
23,MA,sh,0,6
23.5,MA,sh,0,6
24,MA,sh,0,6
24.5,MA,sh,0,6
1.5,MA,fh,1.2956149e-07,7
2,MA,fh,1.5979248e-06,7
2.5,MA,fh,.000010451293,7
3,MA,fh,.000051824594,7
3.5,MA,fh,.0001967175,7
4,MA,fh,.00056579494,7
4.5,MA,fh,.0013409181,7
5,MA,fh,.0027287807,7
5.5,MA,fh,.0050140289,7
6,MA,fh,.0083941165,7
6.5,MA,fh,.012794585,7
7,MA,fh,.018275769,7
7.5,MA,fh,.024551814,7
8,MA,fh,.031284694,7
8.5,MA,fh,.03799995,7
9,MA,fh,.04434894,7
