iteration_2024,length,draw,n_fish_population_2024,state,mode,fitted_prob
79,12,13,24325996.98144531,CT,fh,.059515089
79,12.5,13,23406427.78442383,CT,fh,.044141043
79,13,13,21039029.48437521,CT,fh,.031499695
79,13.5,13,16529534.74243164,CT,fh,.02166681
79,14,13,11068656.63476589,CT,fh,.014329934
79,14.5,13,6891510.174811642,CT,fh,.0091403807
79,15,13,4077575.821044922,CT,fh,.0056465291
79,15.5,13,2150248.714844251,CT,fh,.0033633218
79,16,13,979596.6020507813,CT,fh,.0019511993
79,16.5,13,546465.1599121094,CT,fh,.0011009463
79,17,13,416250.1875004274,CT,fh,.00060120522
79,17.5,13,330431.5,CT,fh,.0003218968
79,18,13,307619.59375,CT,fh,.00016789902
79,18.5,13,307619.59375,CT,fh,.000087517583
79,19,13,307619.59375,CT,fh,.00004196048
85,4,14,13050212.63745117,CT,fh,5.7667507e-06
85,4.5,14,16315412.24609375,CT,fh,.000046651741
85,5,14,20237400.01562758,CT,fh,.00024834042
85,5.5,14,23294801.94628906,CT,fh,.00096624409
85,6,14,24700769.42969912,CT,fh,.0030400262
85,6.5,14,25621105.1171875,CT,fh,.0081133945
85,7,14,27714848.125,CT,fh,.018056247
85,7.5,14,29342682.140625,CT,fh,.033228084
85,8,14,29848029.67578125,CT,fh,.051852725
85,8.5,14,30449927.31250515,CT,fh,.069263339
85,9,14,31488910.3125,CT,fh,.080592662
85,9.5,14,31184269.1015625,CT,fh,.08379513
85,10,14,30067270.87890625,CT,fh,.14496863
85,10.5,14,30762918.02124023,CT,fh,.1228178
85,11,14,32736992.56250022,CT,fh,.1008046
85,11.5,14,33402447.5078125,CT,fh,.080369987
85,12,14,32336761.88476563,CT,fh,.061753932
85,12.5,14,30925117.93212891,CT,fh,.04592118
85,13,14,27702935.54101593,CT,fh,.03286482
85,13.5,14,21708205.76245117,CT,fh,.022667529
85,14,14,14501346.73046924,CT,fh,.01503278
85,14.5,14,9014605.072274394,CT,fh,.009606679
85,15,14,5329962.048828125,CT,fh,.00594114
85,15.5,14,2809726.906250832,CT,fh,.0035413324
85,16,14,1280004.728515625,CT,fh,.0020546694
85,16.5,14,713948.0219726563,CT,fh,.0011599348
85,17,14,543766.8125005758,CT,fh,.00063367124
85,17.5,14,431657.90625,CT,fh,.0003392798
85,18,14,401857.65625,CT,fh,.00017696584
85,18.5,14,401857.65625,CT,fh,.000092243667
85,19,14,401857.65625,CT,fh,.000044226417
93,4,15,23628149.94433594,CT,fh,.000011790101
93,4.5,15,26299557.36914063,CT,fh,.000085855645
93,5,15,28951618.07812589,CT,fh,.00041145444
93,5.5,15,30196594.28222656,CT,fh,.0014719098
93,6,15,29104517.4648568,CT,fh,.0042785755
93,6.5,15,26987127.12255859,CT,fh,.010399971
93,7,15,26163415.96875,CT,fh,.021011643
93,7.5,15,25462258.765625,CT,fh,.035621349
93,8,15,24188646.171875,CT,fh,.051512785
93,8.5,15,23385742.25001535,CT,fh,.064226784
93,9,15,23560883.3125,CT,fh,.071786374
93,9.5,15,23293161.9453125,CT,fh,.073719501
93,10,15,23159135.43261719,CT,fh,.13047095
93,10.5,15,25310312.4831543,CT,fh,.11759505
93,11,15,28682025.12500021,CT,fh,.10274731
93,11.5,15,30654716.1875,CT,fh,.085892931
93,12,15,30677283.06542969,CT,fh,.068301082
93,12.5,15,29915865.11633301,CT,fh,.051833201
93,13,15,27106701.37011752,CT,fh,.037537646
93,13.5,15,21416258.92871094,CT,fh,.026106194
93,14,15,14409178.44042999,CT,fh,.017435422
93,14.5,15,8997899.007815523,CT,fh,.011190171
93,15,15,5334361.180175781,CT,fh,.0069372817
93,15.5,15,2817488.412110608,CT,fh,.0041424194
93,16,15,1283920.823730469,CT,fh,.0024040733
93,16.5,15,717279.0288085938,CT,fh,.0013591873
93,17,15,546969.9375003763,CT,fh,.00074335613
93,17.5,15,434200.59375,CT,fh,.00039800716
93,18,15,404224.8125,CT,fh,.00020759761
93,18.5,15,404224.8125,CT,fh,.00010821052
93,19,15,404224.8125,CT,fh,.000051881761
102,4,16,23492617.23059082,CT,fh,.000010483636
102,4.5,16,25839173.73828125,CT,fh,.000074435011
102,5,16,28170690.32031351,CT,fh,.00034766668
102,5.5,16,29255501.52246094,CT,fh,.0012197939
102,6,16,28221770.57814039,CT,fh,.0034935093
102,6.5,16,26396751.86523438,CT,fh,.0084218746
102,7,16,26104480.03515625,CT,fh,.01718251
102,7.5,16,26051621.546875,CT,fh,.029897803
102,8,16,25463070.1328125,CT,fh,.044980098
102,8.5,16,25359749.25001602,CT,fh,.058857091
102,9,16,26075686.875,CT,fh,.068260834
102,9.5,16,26153665.640625,CT,fh,.072115533
102,10,16,26396013.29003906,CT,fh,.13150156
102,10.5,16,29254952.03186035,CT,fh,.12181494
102,11,16,33410346.40625018,CT,fh,.10801066
102,11.5,16,35841980.6796875,CT,fh,.090916
102,12,16,35940870.51171875,CT,fh,.072550744
102,12.5,16,35080442.19506836,CT,fh,.055111479
102,13,16,31800234.99121129,CT,fh,.039894477
102,13.5,16,25133564.34777832,CT,fh,.027715875
102,14,16,16916582.45410189,CT,fh,.018483551
102,14.5,16,10566608.05859718,CT,fh,.011848488
102,15,16,6265637.383789063,CT,fh,.007338814
102,15.5,16,3309831.568360846,CT,fh,.0043796748
102,16,16,1508310.921875,CT,fh,.0025415723
102,16.5,16,842730.8441162109,CT,fh,.0014363317
102,17,16,642688.8750004257,CT,fh,.00078529905
102,17.5,16,510185.125,CT,fh,.0004204642
102,18,16,474963.625,CT,fh,.00021931104
102,18.5,16,474963.625,CT,fh,.00011431616
102,19,16,474963.625,CT,fh,.000054809123
109,4,17,26765239.94226074,CT,fh,.000015387941
109,4.5,17,29277116.56054688,CT,fh,.00010635455
109,5,17,31420885.34375161,CT,fh,.00047829995
109,5.5,17,31864400.91943359,CT,fh,.0016106645
109,6,17,29728128.21875805,CT,fh,.0044008419
109,6.5,17,26558671.86962891,CT,fh,.010057488
109,7,17,25030592.62890625,CT,fh,.019742738
109,7.5,17,24040377.5546875,CT,fh,.033876929
109,8,17,22743504.0234375,CT,fh,.051008515
109,8.5,17,21926021.75001806,CT,fh,.066770554
109,9,17,21964549.6875,CT,fh,.076692156
109,9.5,17,21439270.7890625,CT,fh,.079232931
109,10,17,20717901.21582031,CT,fh,.13795537
109,10.5,17,21740520.38549805,CT,fh,.11975105
109,11,17,23908426.54687522,CT,fh,.1011235
109,11.5,17,25105972.7578125,CT,fh,.082575664
109,12,17,24886753.31054688,CT,fh,.064673118
109,12.5,17,24207981.24597168,CT,fh,.048704341
109,13,17,21946700.1738284,CT,fh,.035125483
109,13.5,17,17368058.07507324,CT,fh,.024355022
109,14,17,11709987.60546905,CT,fh,.016219528
109,14.5,17,7323649.49805236,CT,fh,.010388585
109,15,17,4344100.514648438,CT,fh,.0064291921
109,15.5,17,2294407.809570859,CT,fh,.0038334553
109,16,17,1045489.427246094,CT,fh,.0022242062
109,16.5,17,583879.9311523438,CT,fh,.0012557902
109,17,17,445130.9375003409,CT,fh,.00068609574
109,17.5,17,353357.875,CT,fh,.00036734887
109,18,17,328963.1875,CT,fh,.00019160644
109,18.5,17,328963.1875,CT,fh,.000099875106
109,19,17,328963.1875,CT,fh,.000047885325
113,4,18,23230973.83337402,CT,fh,.00001611408
113,4.5,18,28926175.42578125,CT,fh,.00012709692
113,5,18,34982891.42187613,CT,fh,.00064469699
113,5.5,18,38619709.10791016,CT,fh,.0023610184
